,x,y,z
233,1.17478907,1.80001694,0.80001694
234,1.17980953,1.7266568,0.7266568
235,1.18483,1.67050314,0.67050314
236,1.18985047,1.5998706,0.5998706
237,1.19487093,1.53655524,0.53655524
238,1.1998914,1.50181959,0.50181959
239,1.20491186,1.45807638,0.45807638
240,1.20993233,1.41318567,0.41318567
241,1.2149528,1.34552315,0.34552315
242,1.21997326,1.30040357,0.30040357
243,1.22499373,1.2673054,0.2673054
244,1.23001419,1.22257419,0.22257419
245,1.23503466,1.19096719,0.19096719
246,1.24005513,1.15322784,0.15322784
247,1.24507559,1.10945395,0.10945395
248,1.25009606,1.07923367,0.07923367
249,1.25511652,1.04491064,0.04491064
250,1.26013699,1.00938059,0.00938059
251,1.26515746,0.98889914,-0.01110086
252,1.27017792,0.96393643,-0.03606357
253,1.27519839,0.93744238,-0.06255762
254,1.28021886,0.90267129,-0.09732871
255,1.28523932,0.87684158,-0.12315842
256,1.29025979,0.85942239,-0.14057761
257,1.29528025,0.84098123,-0.15901877
258,1.30030072,0.82310304,-0.17689696
259,1.30532119,0.80652613,-0.19347387
260,1.31034165,0.78705318,-0.21294682
261,1.31536212,0.76924495,-0.23075505
262,1.32038258,0.74903314,-0.25096686
263,1.32540305,0.73496867,-0.26503133
264,1.33042352,0.71902339,-0.28097661
265,1.33544398,0.71395712,-0.28604288
266,1.34046445,0.7001709,-0.2998291
267,1.34548491,0.68852439,-0.31147561
268,1.35050538,0.67787276,-0.32212724
269,1.35552585,0.66680964,-0.33319036
270,1.36054631,0.66072609,-0.33927391
271,1.36556678,0.64271496,-0.35728504
272,1.37058724,0.63263915,-0.36736085
273,1.37560771,0.62775783,-0.37224217
274,1.38062818,0.61991288,-0.38008712
275,1.38564864,0.61569212,-0.38430788
276,1.39066911,0.60319163,-0.39680837
277,1.39568958,0.60088363,-0.39911637
278,1.40071004,0.5955442,-0.4044558
279,1.40573051,0.58868921,-0.41131079
280,1.41075097,0.58030055,-0.41969945
281,1.41577144,0.56208611,-0.43791389
282,1.42079191,0.55815721,-0.44184279
283,1.42581237,0.5536142,-0.4463858
284,1.43083284,0.55391468,-0.44608532
285,1.4358533,0.5521249,-0.4478751
286,1.44087377,0.54863813,-0.45136187
287,1.44589424,0.54370515,-0.45629485
288,1.4509147,0.54036803,-0.45963197
289,1.45593517,0.53170595,-0.46829405
290,1.46095563,0.52761016,-0.47238984
291,1.4659761,0.52960382,-0.47039618
292,1.47099657,0.52561275,-0.47438725
293,1.47601703,0.52907005,-0.47092995
294,1.4810375,0.52995494,-0.47004506
295,1.48605797,0.53259671,-0.46740329
296,1.49107843,0.52868973,-0.47131027
297,1.4960989,0.53021339,-0.46978661
298,1.50111936,0.52428309,-0.47571691
299,1.50613983,0.5304426,-0.4695574
300,1.5111603,0.53163992,-0.46836008
301,1.51618076,0.53706288,-0.46293712
